epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,38.3999,1.41366,2.6211,1.31659,0.00333,1,0.00646,0.00129,2.70694,4.32198,2.64914,0.000496672,0.000496672,0.000496672
46,39.2139,1.20677,1.75673,1.11197,0.00333,1,0.00646,0.00129,2.70694,4.32198,2.64914,0.00049905,0.00049905,0.00049905
47,40.0585,0.91675,2.13259,1.04378,0.00333,1,0.0107,0.00361,2.53712,4.29219,2.22986,0.000501032,0.000501032,0.000501032
48,40.9222,1.41642,2.21243,1.25602,0.00333,1,0.0107,0.00361,2.53712,4.29219,2.22986,0.000502618,0.000502618,0.000502618
49,41.8796,1.05491,2.35964,1.04724,0.00333,1,0.01005,0.00491,2.33455,4.0623,1.93534,0.000503808,0.000503808,0.000503808
50,42.7681,1.51398,2.09702,1.19008,0.00333,1,0.01005,0.00491,2.33455,4.0623,1.93534,0.000504602,0.000504602,0.000504602
51,43.7176,1.23206,1.95004,1.09393,0.00333,1,0.01005,0.00301,2.88919,4.02146,2.06418,0.000505,0.000505,0.000505
52,44.555,1.12714,2.78514,1.06568,0.00333,1,0.01005,0.00301,2.88919,4.02146,2.06418,0.000505002,0.000505002,0.000505002
53,45.4154,1.48114,2.70504,1.26625,0.00333,1,0.01005,0.00301,2.88919,4.02146,2.06418,0.000504608,0.000504608,0.000504608
54,46.2575,1.36704,2.19055,0.97624,0.00333,1,0.01036,0.00207,3.22236,3.93543,2.3994,0.000503818,0.000503818,0.000503818
55,47.0762,1.4332,2.21421,1.06726,0.00333,1,0.01036,0.00207,3.22236,3.93543,2.3994,0.000502632,0.000502632,0.000502632
56,47.8922,1.04621,3.18948,1.04216,0.00333,1,0.01036,0.00207,3.22236,3.93543,2.3994,0.00050105,0.00050105,0.00050105
57,48.7347,1.2956,2.32941,1.05553,0.00333,1,0.00985,0.00288,3.18705,4.1787,2.49864,0.000499072,0.000499072,0.000499072
58,49.5547,1.36364,2.25983,1.01337,0.00333,1,0.00985,0.00288,3.18705,4.1787,2.49864,0.000496698,0.000496698,0.000496698
59,50.3748,1.49012,2.14018,1.35891,0.00333,1,0.00985,0.00288,3.18705,4.1787,2.49864,0.000493928,0.000493928,0.000493928
60,51.2107,1.20298,2.39012,1.0356,0.00333,1,0.01015,0.00289,3.2166,4.02416,2.44668,0.000490762,0.000490762,0.000490762
61,52.0321,1.12393,1.6834,1.03209,0.00333,1,0.01015,0.00289,3.2166,4.02416,2.44668,0.0004872,0.0004872,0.0004872
62,52.8588,1.23683,1.52186,1.00776,0.00333,1,0.01015,0.00289,3.2166,4.02416,2.44668,0.000483242,0.000483242,0.000483242
63,53.7234,1.29919,1.73542,0.90847,0.00333,1,0.00995,0.00374,2.90404,4.06517,2.12566,0.000478888,0.000478888,0.000478888
64,54.5493,0.97413,1.73927,0.88432,0.00333,1,0.00995,0.00374,2.90404,4.06517,2.12566,0.000474138,0.000474138,0.000474138
65,55.3658,1.24608,1.50649,0.98946,0.00333,1,0.00995,0.00374,2.90404,4.06517,2.12566,0.000468992,0.000468992,0.000468992
66,56.2196,1.28043,1.71323,1.01386,0.00333,1,0.00765,0.00341,2.56508,4.43664,1.96668,0.00046345,0.00046345,0.00046345
67,57.0294,1.13519,1.65882,0.94553,0.00333,1,0.00765,0.00341,2.56508,4.43664,1.96668,0.000457512,0.000457512,0.000457512
68,57.8364,1.23405,1.78266,1.09998,0.00333,1,0.00765,0.00341,2.56508,4.43664,1.96668,0.000451178,0.000451178,0.000451178
69,58.7567,1.02436,1.55241,0.98794,0.00333,1,0.00575,0.0023,2.72987,4.4088,2.08289,0.000444448,0.000444448,0.000444448
70,59.5954,1.36361,2.59001,1.15739,0.00333,1,0.00575,0.0023,2.72987,4.4088,2.08289,0.000437322,0.000437322,0.000437322
71,60.4503,1.38112,2.08326,0.94918,0.00333,1,0.00575,0.0023,2.72987,4.4088,2.08289,0.0004298,0.0004298,0.0004298
72,61.2987,1.2652,1.85301,1.04242,0.00333,1,0.004,0.0012,3.08351,4.54449,2.36383,0.000421882,0.000421882,0.000421882
73,62.1184,1.04053,1.37107,0.91667,0.00333,1,0.004,0.0012,3.08351,4.54449,2.36383,0.000413568,0.000413568,0.000413568
74,62.936,1.30719,1.52025,1.0086,0.00333,1,0.004,0.0012,3.08351,4.54449,2.36383,0.000404858,0.000404858,0.000404858
75,63.7876,1.34194,1.79964,1.05177,0.00333,1,0.00396,0.00079,3.38177,4.38175,2.64324,0.000395752,0.000395752,0.000395752
76,64.599,1.2859,1.82887,1.08534,0.00333,1,0.00396,0.00079,3.38177,4.38175,2.64324,0.00038625,0.00038625,0.00038625
77,65.427,0.95298,1.66225,0.90225,0.00333,1,0.00396,0.00079,3.38177,4.38175,2.64324,0.000376352,0.000376352,0.000376352
78,66.2735,1.08372,1.6666,0.97323,0.00333,1,0.00436,0.00044,3.26745,4.64999,2.96523,0.000366058,0.000366058,0.000366058
79,67.1026,1.19075,1.96507,1.00545,0.00333,1,0.00436,0.00044,3.26745,4.64999,2.96523,0.000355368,0.000355368,0.000355368
80,67.9457,1.03767,1.59799,0.88654,0.00333,1,0.00436,0.00044,3.26745,4.64999,2.96523,0.000344282,0.000344282,0.000344282
81,68.799,1.34993,1.6588,1.07964,0,0,0,0,3.16395,4.49727,2.88977,0.0003328,0.0003328,0.0003328
82,69.608,0.974,1.35355,0.91702,0,0,0,0,3.16395,4.49727,2.88977,0.000320922,0.000320922,0.000320922
83,70.4292,1.20171,1.90144,1.11023,0,0,0,0,3.16395,4.49727,2.88977,0.000308648,0.000308648,0.000308648
84,71.2719,1.36691,1.99506,1.13049,0,0,0,0,3.11659,4.47891,2.86085,0.000295978,0.000295978,0.000295978
85,72.107,1.00526,1.41045,0.91431,0,0,0,0,3.11659,4.47891,2.86085,0.000282912,0.000282912,0.000282912
86,72.944,0.65702,1.53025,0.81373,0,0,0,0,3.11659,4.47891,2.86085,0.00026945,0.00026945,0.00026945
87,73.7792,1.17122,1.97951,1.00122,0,0,0,0,3.11659,4.47891,2.86085,0.000255592,0.000255592,0.000255592
88,74.6311,0.97566,1.50315,0.964,0,0,0,0,3.0981,4.50574,2.88795,0.000241338,0.000241338,0.000241338
89,75.4895,0.82101,1.301,0.79044,0,0,0,0,3.0981,4.50574,2.88795,0.000226688,0.000226688,0.000226688
90,76.3117,1.19495,1.69954,1.06366,0,0,0,0,3.0981,4.50574,2.88795,0.000211642,0.000211642,0.000211642
91,77.1403,0.85265,2.23149,0.90851,0,0,0,0,3.0981,4.50574,2.88795,0.0001962,0.0001962,0.0001962
92,78.0234,0.99996,2.09982,0.99363,0,0,0,0,3.01513,4.36451,2.80488,0.000180362,0.000180362,0.000180362
93,78.9453,0.97428,1.97968,1.07689,0,0,0,0,3.01513,4.36451,2.80488,0.000164128,0.000164128,0.000164128
94,79.8339,1.44785,2.55552,0.9856,0,0,0,0,3.01513,4.36451,2.80488,0.000147498,0.000147498,0.000147498
95,80.678,1.35857,2.2871,1.04448,0,0,0,0,3.01513,4.36451,2.80488,0.000130472,0.000130472,0.000130472
96,81.5733,1.24934,2.21714,1.05797,0.00333,1,0.00361,0.00108,2.98279,4.36049,2.74965,0.00011305,0.00011305,0.00011305
97,82.3934,0.96957,2.16519,0.98928,0.00333,1,0.00361,0.00108,2.98279,4.36049,2.74965,9.5232e-05,9.5232e-05,9.5232e-05
98,83.2127,1.10924,2.3193,1.07523,0.00333,1,0.00361,0.00108,2.98279,4.36049,2.74965,7.7018e-05,7.7018e-05,7.7018e-05
99,84.0272,1.37924,2.02286,1.05878,0.00333,1,0.00361,0.00108,2.98279,4.36049,2.74965,5.8408e-05,5.8408e-05,5.8408e-05
100,84.8462,1.05677,1.98377,0.9615,0.00333,1,0.00495,0.0005,3.10381,4.42901,2.87208,3.9402e-05,3.9402e-05,3.9402e-05
